Well Number,Well Name,Bottomhole X,Bottomhole Y,Co [MSTB],Cw (bbl),POROS,KX,KY,TD(MD),Cg (mmcf),FACIES,P_2020-1-6,P_2029-1-1
1,PO1_1,5064.04,13746.23,55.1916,0.000161745,0.128029479,0.02037744,0.02037744,8551.7,157.1194469,3,3491.971374,2992.403113
2,PO1_2,7668.4,13746.23,27.5294,0.000139479,0.10187566,0.015087908,0.015087908,8579.9,69.83107604,4,3501.327981,2947.374808
3,PO1_3,2459.67,13746.23,48.354,0.000197399,0.119220339,0.022396135,0.022396135,8557.1,134.7819396,4,3493.763065,2904.053641
4,PO1_4,10272.76,13746.23,0.572057,1.44E-07,0.0641319,9.13E-05,9.13E-05,8635.5,1.101209725,5,3519.775759,3301.826052
5,PO1_5,12877.11,13746.23,0.430394,8.56E-08,0.06307772,6.68E-05,6.68E-05,8718.6,0.435085295,5,3547.347889,3365.597401
6,PO1_6,10272.76,11141.88,0.995444,3.84E-07,0.071006502,0.000167849,0.000167849,8555.5,2.79222042,5,3493.232193,3196.74689
7,PO1_7,11430.25,11141.88,0.215019,0.603003,0.06938168,0.000162067,0.000162067,8589.1,0.523657273,5,3504.380491,3126.40593
8,PO1_8,12877.11,11141.88,0,1.2446,0.074247061,0.000269818,0.000269818,8638.6,0,5,3520.804323,2949.43445
9,PO1_9,14034.61,11141.88,0,1.30679,0.073379858,0.000284073,0.000284073,8684.3,0,5,3535.967335,2954.485548
10,PO1_10,8825.89,11141.88,83.4367,0.000113674,0.12239076,0.015151211,0.015151211,8521.2,138.2286104,4,3481.851639,2913.662088
11,PO1_11,6221.53,11141.88,104.8875,0.000339227,0.161974899,0.038947085,0.038947085,8480.9,307.76812,2,3468.480318,2588.865376
12,PO1_12,5064.04,11141.88,113.904,0.000436387,0.1840442,0.0508726,0.0508726,8471.7,424.4974272,1,3465.427808,2510.376538
13,PO1_13,3617.17,11141.88,120.743,0.000492105,0.188017401,0.0564631,0.0564631,8467.9,455.0320698,1,3464.166989,2530.781051
14,PO1_14,2459.67,11141.88,113.851,0.000459321,0.185200599,0.05286122,0.05286122,8477.1,417.5371574,1,3467.219499,2528.208366
15,PO1_15,7668.4,11141.88,102.9649,0.000325153,0.168665397,0.037830727,0.037830727,8499.9,283.4578773,2,3474.784415,2569.056779
16,PO1_16,1012.81,11141.88,97.468,0.000299718,0.170455998,0.034999438,0.034999438,8511.4,254.8774668,2,3478.600053,2569.625883
17,PO1_17,5064.04,8537.52,43.3226,0.000143649,0.181127597,0.058184356,0.017631623,8432.9,339.9447514,1,3452.554178,2663.798123
18,PO1_18,2459.67,8537.52,37.5308,9.46E-05,0.169984442,0.042673,0.012931212,8438.2,313.6998852,2,3454.31269,2836.593305
19,PO1_19,3617.17,8537.52,43.6921,0.000122269,0.178484357,0.052673316,0.015961611,8429.1,433.3058363,1,3451.293359,2758.506493
20,PO1_20,7668.4,8537.52,41.88718,6.75E-05,0.126536539,0.027976021,0.008477582,8461,84.10958655,3,3461.877606,3061.044354
21,PO1_21,6221.53,8537.52,32.8581,0.000117376,0.163947345,0.046878678,0.01420566,8442,293.1903084,2,3455.573509,2621.293822
22,PO1_22,1012.81,8537.52,112.65348,6.76E-05,0.15083513,0.027701236,0.008394314,8472.5,73.1680092,3,3465.693244,2746.230378
23,PO1_23,8825.89,8537.52,114.57856,6.53E-05,0.117819135,0.026140623,0.007921401,8482.4,64.08606688,4,3468.97801,2835.262873
24,PO1_24,11430.25,8537.52,44.81568,0.0880709,0.100904411,0.010486559,0.003177745,8550.2,30.55255632,4,3491.473682,3039.397559
25,PO1_25,10272.76,8537.52,93.8431,0.369369,0.104126486,0.018063718,0.005473854,8516.7,55.2815549,4,3480.358564,2992.036396
26,PO1_26,12877.11,8537.52,30.609516,10.3796,0.108065853,0.01948881,0.0059057,8599.7,16.89936802,4,3507.897514,2849.407768
27,PO1_27,14034.61,8537.52,0,30.1566,0.116111479,0.033129924,0.010039371,8645.4,0,4,3523.060526,2676.168143
28,PO1_28,14034.61,5933.16,0,37.7757,0.112871918,0.012573315,0.012573315,8647.7,0,4,3523.823653,2694.598799
